Fide id	Name	Federation	Year_of_birth	Title	Standard_Rating	Rapid_rating	Blitz_rating	Inactive_flag	age
700070	Polgar, Judit	HUN	1976.0	GM	2675	2646.0	2736.0	wi	45
8602980	Hou, Yifan	CHN	1994.0	GM	2658	2621.0	2601.0		27
5008123	Koneru, Humpy	IND	1987.0	GM	2586	2483.0	2483.0		34
4147103	Goryachkina, Aleksandra	RUS	1998.0	GM	2582	2502.0	2441.0		23
700088	Polgar, Susan	HUN	1969.0	GM	2577			wi	52
8600147	Xie, Jun	CHN	1970.0	GM	2574			wi	51
8603006	Ju, Wenjun	CHN	1991.0	GM	2560	2610.0	2536.0		30
14109336	Lagno, Kateryna	RUS	1989.0	GM	2546	2521.0	2608.0		32
14114550	Muzychuk, Mariya	UKR	1992.0	GM	2544	2506.0	2326.0		29
12801259	Cmilyte, Viktorija	LTU	1983.0	GM	2538	2394.0	2435.0	wi	38
14111330	Muzychuk, Anna	UKR	1990.0	GM	2535	2533.0	2505.0		31
13601903	Dzagnidze, Nana	GEO	1987.0	GM	2524	2447.0	2391.0		34
5015197	Harika, Dronavalli	IND	1991.0	GM	2515	2450.0	2422.0		30
8603642	Tan, Zhongyi	CHN	1991.0	GM	2510	2501.0	2510.0		30
8605114	Lei, Tingjie	CHN	1997.0	GM	2505	2527.0	2530.0		24
13600036	Chiburdanidze, Maia	GEO	1961.0	GM	2500	2432.0	2437.0	wi	60
13700090	Saduakassova, Dinara	KAZ	1996.0	IM	2500	2412.0	2378.0		25
4198026	Kashlinskaya, Alina	RUS	1993.0	IM	2494	2384.0	2364.0		28
12512214	Khademalsharieh, Sarasadat	IRI	1997.0	IM	2494	2393.0	2431.0		24
8602727	Ruan, Lufei	CHN	1987.0	WGM	2491			wi	34
8601283	Zhao, Xue	CHN	1985.0	GM	2486	2442.0	2407.0		36
8600430	Wang, Lei	CHN	1975.0	WGM	2484			wi	46
4134974	Kosintseva, Nadezhda	RUS	1985.0	GM	2483	2516.0	2519.0	wi	36
13703544	Abdumalik, Zhansaya	KAZ	2000.0	IM	2478	2462.0	2409.0		21
13600079	Ioseliani, Nana	GEO	1962.0	IM	2475			wi	59
13601458	Javakhishvili, Lela	GEO	1984.0	IM	2475	2383.0	2332.0		37
4133471	Kosintseva, Tatiana	RUS	1986.0	GM	2475	2496.0	2506.0	wi	35
4147855	Pogonina, Natalija	RUS	1985.0	WGM	2475	2499.0	2311.0		36
4641833	Paehtz, Elisabeth	GER	1985.0	IM	2473	2369.0	2396.0		36
4128125	Kosteniuk, Alexandra	RUS	1984.0	GM	2471	2517.0	2521.0		37
4195752	Girya, Olga	RUS	1991.0	WGM	2469	2471.0	2297.0		30
8600350	Qin, Kanying	CHN	1974.0	WGM	2466			wi	47
8600635	Xu, Yuhua	CHN	1976.0	GM	2465			wi	45
1700030	Cramling, Pia	SWE	1963.0	GM	2464	2396.0	2320.0		58
2902257	Stefanova, Antoaneta	BUL	1979.0	GM	2462	2461.0	2485.0		42
8608059	Zhu, Jiner	CHN	2002.0	WGM	2459	2326.0	2249.0		19
13602640	Khotenashvili, Bela	GEO	1988.0	GM	2458	2413.0	2320.0		33
13602993	Batsiashvili, Nino	GEO	1987.0	GM	2457	2425.0	2278.0		34
24171760	Shuvalova, Polina	RUS	2001.0	WGM	2454	2379.0	2319.0		20
4130189	Atalik, Ekaterina	TUR	1982.0	IM	2450	2419.0	2228.0		39
700231	Polgar, Sofia	HUN	1974.0	IM	2450			wi	47
723916	Dembo, Yelena	GRE	1983.0	IM	2448			wi	38
4144228	Korbut, Ekaterina	RUS	1985.0	IM	2448			wi	36
13403729	Mammadzada, Gunay	AZE	2000.0	IM	2443	2280.0	2242.0		21
4129725	Galliamova, Alisa	RUS	1972.0	IM	2438	2356.0	2412.0	wi	49
14101602	Osmak, Iulija	UKR	1998.0	IM	2438	2356.0	2242.0		23
617822	Sebag, Marie	FRA	1986.0	GM	2438	2413.0	2482.0		35
13903063	Bulmaga, Irina	ROU	1993.0	IM	2434	2351.0	2335.0		28
8602689	Huang, Qian	CHN	1986.0	WGM	2433	2464.0	2311.0		35
4167570	Gunina, Valentina	RUS	1989.0	GM	2431	2427.0	2476.0		32
